time_segment_key,  Start_Time_date,  Start_Time_time,  Duration,  Approved,  myPay_Key,  Pay_Created_Date,valid
 7274621,  3.0,  7.5,   8.00000,   0,   0,   NULL, true
 4980818,  4.0,  7.5,   8.00000,   0,   0,   NULL, true
 9109707,  7.0,  16.416666,   1.16667,   0,   0,   NULL, true
 9109706,  7.0,  14.0,   3.30000,   0,   0,   NULL, true
 9109705,  7.0,  16.366667,   1.21667,   0,   0,   NULL, true
 9109704,  7.0,  16.416666,   1.16667,   0,   0,   NULL, true
 9109711,  7.0,  7.5,   9.25000,   0,   0,   NULL, true
 9109710,  7.0,  12.533334,   4.30000,   0,   0,   NULL, true
 9109709,  7.0,  12.666667,   4.25000,   0,   0,   NULL, true
 9109708,  7.0,  16.416666,   1.16667,   0,   0,   NULL, true
 9109723,  7.0,  7.5,   8.35000,   0,   0,   NULL, true
 9109722,  7.0,  7.5,   8.23333,   0,   0,   NULL, true
 9109721,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109720,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109727,  7.0,  7.5,   5.01667,   0,   0,   NULL, true
 9109726,  7.0,  7.5,   9.11667,   0,   0,   NULL, true
 9109725,  7.0,  7.5,   8.30000,   0,   0,   NULL, true
 9109724,  7.0,  7.5,   8.35000,   0,   0,   NULL, true
 9109715,  7.0,  7.5,   8.20000,   0,   0,   NULL, true
 9109714,  7.0,  10.05,   3.95000,   0,   0,   NULL, true
 9109713,  7.0,  7.0,   10.13333,   0,   0,   NULL, true
 9109712,  7.0,  7.383333,   2.53333,   0,   0,   NULL, true
 9109719,  7.0,  7.5,   8.23333,   0,   0,   NULL, true
 9109718,  7.0,  7.5,   8.30000,   0,   0,   NULL, true
 9109717,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109716,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109739,  7.0,  16.5,   1.00000,   0,   0,   NULL, true
 9109738,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109737,  7.0,  7.5,   8.75000,   0,   0,   NULL, true
 9109736,  7.0,  7.0,   9.00000,   0,   0,   NULL, true
 9699569,  4.0,  9.333333,   1.16667,   0,   0,   NULL, true
 9109741,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109740,  7.0,  7.383333,   2.63333,   0,   0,   NULL, true
 9109731,  7.0,  10.0,   5.80000,   0,   0,   NULL, true
 9109730,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109729,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109728,  7.0,  7.5,   5.03333,   0,   0,   NULL, true
 9109735,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9699576,  4.0,  9.333333,   1.16667,   0,   0,   NULL, true
 9109734,  7.0,  7.5,   8.30000,   0,   0,   NULL, true
 9109733,  7.0,  7.5,   8.50000,   0,   0,   NULL, true
 9109732,  7.0,  7.5,   8.28333,   0,   0,   NULL, true
 9109755,  7.0,  7.25,   8.53333,   0,   0,   NULL, true
 9109747,  7.0,  7.25,   8.53333,   0,   0,   NULL, true
 5439699,  4.0,  6.0,   8.00000,   0,   0,   NULL, true
 5439696,  4.0,  7.5,   6.00000,   0,   0,   NULL, true
 5439696,  4.0,  7.5,   7.00000,   0,   0,   NULL, false
 3276982,  4.0,  7.5,   8.00000,   0,   NULL,   NULL, true
 5439703,  5.0,  7.5,   8.00000,   0,   0,   NULL, true
 3276983,  5.0,  7.5,   8.00000,   0,   NULL,   NULL, true
 7274729,  3.0,  7.5,   8.00000,   0,   0,   NULL, true
 5439700,  4.0,  6.0,   8.00000,   0,   0,   NULL, true
 3276986,  5.0,  7.5,   8.00000,   0,   NULL,   NULL, true
 5439707,  5.0,  7.5,   5.50000,   0,   0,   NULL, true
 5439707,  5.0,  7.5,   8.00000,   0,   0,   NULL, false
 3276987,  6.0,  7.5,   8.00000,   0,   NULL,   NULL, true
