Audit_Time,  Audit_Action,  time_segment_key,  myemployee_key,  time_date,  Company,  Work,  Work_Category,  Job,  Start_Time,  End_Time,  Duration,  Break_Duration,  Approved,  is_deleted,  myPay_Key,  Time_Requires_Approval,  Week_Starts_On,  Pay_Period_Start,  Pay_Period_End,  Pay_Frequency,  Pay_Created_Date
2015-07-23 09:44:05.613,  Add,  4044118,  73721,  2015-07-23,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-23 08:30:00.000,  2015-07-23 12:00:00.000,  3.50000,  0.00000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-23 09:43:23.473,  Add,  4044109,  73721,  2015-07-20,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-20 08:00:00.000,  2015-07-20 16:30:00.000,  8.00000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-23 09:44:59.080,  Add,  4044125,  73721,  2015-07-21,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-21 14:30:00.000,  2015-07-21 16:15:00.000,  1.75000,  0.00000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-23 09:45:13.133,  Change,  4044118,  73721,  2015-07-21,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-21 08:30:00.000,  2015-07-21 12:00:00.000,  3.50000,  0.00000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-24 15:54:14.157,  Add,  4052329,  73721,  2015-07-23,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-23 08:00:00.000,  2015-07-23 16:15:00.000,  7.75000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-24 15:54:42.053,  Add,  4052333,  73721,  2015-07-24,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-24 08:00:00.000,  2015-07-24 16:15:00.000,  7.75000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-28 11:58:20.490,  Add,  4074302,  73721,  2015-07-28,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-28 07:45:00.000,  2015-07-28 16:00:00.000,  7.50000,  0.75000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-28 16:13:54.383,  Change,  4074302,  73721,  2015-07-28,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-28 07:45:00.000,  2015-07-28 16:15:00.000,  8.00000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-29 15:08:00.970,  Add,  4084108,  73721,  2015-07-29,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-29 08:00:00.000,  2015-07-29 16:15:00.000,  7.75000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-07-30 16:14:02.743,  Add,  4097138,  73721,  2015-07-30,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-30 08:15:00.000,  2015-07-30 16:30:00.000,  7.75000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-08-03 15:37:21.877,  Add,  4117363,  73721,  2015-08-03,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-08-03 08:00:00.000,  2015-08-03 16:00:00.000,  7.50000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-08-03 17:20:35.730,  Change,  4097138,  73721,  2015-07-30,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-30 08:15:00.000,  2015-07-30 16:30:00.000,  7.75000,  0.50000,  1,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-08-03 17:20:35.730,  Change,  4084108,  73721,  2015-07-29,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-29 08:00:00.000,  2015-07-29 16:15:00.000,  7.75000,  0.50000,  1,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-08-03 17:20:35.730,  Change,  4074302,  73721,  2015-07-28,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-07-28 07:45:00.000,  2015-07-28 16:15:00.000,  8.00000,  0.50000,  1,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
2015-08-04 14:06:59.130,  Add,  4126166,  73721,  2015-08-04,  Momentum,  Contractor WGN Hourly (AOG),  NULL,  Senior Communications Advisor,  2015-08-04 08:00:00.000,  2015-08-04 16:00:00.000,  7.50000,  0.50000,  0,  NULL,  0,  1,  Mon,  NULL,  NULL,  NULL,  NULL
