time_segment_key,  Start_Time_date,  Start_Time_time,  Duration,  Approved,  myPay_Key,  Pay_Created_Date, valid
 3352508,  4.0,  8.5,   8.00000,   0,   0,   NULL, false
 3350170,  4.0,  13.25,   4.25000,   0,   0,   NULL, false
 3355804,  5.0,  13.0,   3.50000,   0,   0,   NULL, false
 3357137,  5.0,  8.0,   9.50000,   0,   0,   NULL, false
 3355159,  5.0,  8.25,   7.25000,   0,   0,   NULL, false
 3355159,  5.0,  8.25,   7.75000,   0,   0,   NULL, false
 3355804,  5.0,  12.5,   4.00000,   0,   0,   NULL, false
 3355791,  5.0,  8.75,   3.25000,   0,   0,   NULL, false
 3355159,  5.0,  8.25,   8.00000,   0,   0,   NULL, false
 3368918,  4.0,  7.5,   8.00000,   0,   0,   NULL, false
 3352331,  4.0,  8.75,   7.00000,   0,   0,   NULL, false
 3374862,  4.0,  8.0,   8.50000,   0,   0,   NULL, false
 3374873,  5.0,  8.0,   8.50000,   0,   0,   NULL, false
 3370007,  3.0,  8.25,   0.75000,   0,   0,   NULL, false
 3374263,  3.0,  8.25,   8.25000,   0,   0,   NULL, false
 3381574,  4.0,  11.0,   22.00000,   0,   0,   NULL, false
 3390963,  5.0,  8.0,   1.00000,   0,   0,   NULL, false
 3391721,  3.0,  0.0,   1.00000,   0,   0,   NULL, false
 3391816,  5.0,  0.0,   0.80000,   0,   0,   NULL, false
 3391816,  5.0,  0.0,   0.67000,   0,   0,   NULL, false
 3390963,  5.0,  8.0,   8.50000,   0,   0,   NULL, false
 3391816,  5.0,  0.0,   0.75000,   0,   0,   NULL, false
 3390710,  5.0,  8.5,   8.00000,   0,   0,   NULL, false
 3397053,  6.0,  8.5,   6.50000,   0,   0,   NULL, false
 3397064,  4.0,  8.5,   7.50000,   0,   0,   NULL, false
 3397088,  5.0,  8.25,   3.75000,   0,   0,   NULL, false
 3397126,  3.0,  8.25,   0.75000,   0,   0,   NULL, false
 3399440,  6.0,  8.0,   8.00000,   0,   0,   NULL, false
 3397419,  6.0,  8.5,   8.50000,   0,   0,   NULL, false
 3403041,  4.0,  8.25,   9.00000,   0,   0,   NULL, false
 3403156,  6.0,  14.25,   4.00000,   0,   0,   NULL, false
 3403067,  4.0,  14.0,   3.25000,   0,   0,   NULL, false
 3403067,  4.0,  14.0,   3.50000,   0,   0,   NULL, false
 3403149,  5.0,  13.5,   4.50000,   0,   0,   NULL, false
 3403156,  6.0,  14.25,   4.25000,   0,   0,   NULL, false
 3403144,  4.0,  13.75,   3.75000,   0,   0,   NULL, false
 3403149,  5.0,  13.5,   4.25000,   0,   0,   NULL, false
 3403149,  5.0,  13.5,   4.50000,   0,   0,   NULL, false
 3404638,  4.0,  8.0,   8.50000,   0,   0,   NULL, false
 3405045,  2.0,  8.5,   7.25000,   0,   0,   NULL, false
 3407224,  4.0,  7.5,   9.00000,   0,   0,   NULL, false
 3399440,  6.0,  8.0,   8.50000,   0,   0,   NULL, false
 3407224,  4.0,  7.25,   9.25000,   0,   0,   NULL, false
 3413261,  4.0,  8.0,   9.25000,   0,   0,   NULL, false
 3413291,  6.0,  7.75,   7.00000,   0,   0,   NULL, false
 3413258,  3.0,  8.0,   8.00000,   0,   0,   NULL, false
 3413258,  3.0,  7.75,   8.25000,   0,   0,   NULL, false
 3413261,  4.0,  7.75,   9.50000,   0,   0,   NULL, false
 3413291,  6.0,  8.0,   6.75000,   0,   0,   NULL, false
 3413261,  4.0,  7.75,   8.25000,   0,   0,   NULL, false
